FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,ARR_DELAY,AIR_TIME,DISTANCE,CANCELLED
2025-01-01,DL,LAX,JFK,1400,27.0,22.0,345.0,2475.0,0
2025-10-30,AA,DEN,LAX,600,3.0,12.0,146.0,862.0,0
2025-02-12,B6,ATL,LGA,1700,63.0,50.0,136.0,762.0,0
2025-09-25,AA,JFK,MIA,900,9.0,8.0,170.0,1089.0,0
2025-01-07,UA,JFK,MIA,2100,32.0,30.0,171.0,1089.0,0
2025-11-12,F9,BOS,DCA,500,19.0,10.0,92.0,399.0,0
2025-04-02,UA,LAX,JFK,1400,13.0,2.0,355.0,2475.0,0
2025-12-12,DL,DEN,PHX,1600,18.0,23.0,105.0,602.0,0
2025-06-22,AA,LAX,LAS,1100,16.0,13.0,68.0,236.0,0
2025-07-25,DL,LAX,JFK,2100,21.0,19.0,354.0,2475.0,0
2025-06-24,AS,ORD,DFW,900,6.0,13.0,140.0,802.0,0
2025-09-29,WN,IAH,MIA,500,3.0,12.0,161.0,964.0,0
2025-03-21,F9,DEN,LAX,1600,31.0,33.0,144.0,862.0,0
2025-06-28,UA,DEN,LAX,1300,15.0,9.0,144.0,862.0,0
2025-04-01,UA,DEN,PHX,1500,22.0,13.0,107.0,602.0,0
2025-10-14,AS,SEA,ANC,1300,10.0,15.0,212.0,1448.0,0
2025-11-10,AS,ORD,DFW,1600,25.0,35.0,140.0,802.0,0
2025-07-15,AA,LAX,SEA,1200,21.0,19.0,149.0,954.0,0
2025-08-16,F9,BOS,DCA,600,16.0,18.0,84.0,399.0,0
2025-09-26,B6,JFK,ORD,600,-3.0,-15.0,127.0,740.0,0
2025-05-29,AS,ORD,DFW,500,-1.0,-15.0,139.0,802.0,0
2025-04-11,B6,SFO,ORD,2100,45.0,46.0,266.0,1846.0,0
2025-12-12,WN,LAX,LAS,2100,35.0,37.0,65.0,236.0,0
2025-09-08,WN,EWR,SFO,1000,6.0,-1.0,367.0,2565.0,0
2025-01-09,WN,SEA,ANC,1600,13.0,5.0,217.0,1448.0,0
2025-07-31,B6,ATL,LGA,600,18.0,22.0,137.0,762.0,0
2025-06-13,DL,JFK,MIA,1600,17.0,13.0,169.0,1089.0,0
2025-04-02,DL,SEA,ANC,1200,7.0,-2.0,217.0,1448.0,0
2025-10-16,WN,ORD,DFW,1200,10.0,-2.0,137.0,802.0,0
2025-09-08,AS,JFK,MIA,600,10.0,13.0,168.0,1089.0,0
2025-06-19,UA,JFK,ORD,1000,10.0,-2.0,132.0,740.0,0
2025-05-16,AS,LAX,ORD,700,0.0,2.0,266.0,1744.0,0
2025-03-23,DL,LAX,JFK,500,10.0,-4.0,351.0,2475.0,0
2025-08-18,UA,ORD,DFW,1100,13.0,19.0,145.0,802.0,0
2025-11-09,WN,BOS,DCA,600,4.0,13.0,83.0,399.0,1
2025-08-29,DL,LAX,JFK,700,6.0,7.0,355.0,2475.0,0
2025-01-05,AS,BOS,DCA,900,7.0,3.0,88.0,399.0,0
2025-09-02,WN,SEA,ANC,1200,14.0,9.0,219.0,1448.0,0
2025-06-09,WN,LAX,ORD,800,35.0,18.0,255.0,1744.0,0
2025-09-07,WN,ATL,LGA,2100,29.0,30.0,140.0,762.0,0
2025-05-19,AS,LAX,SEA,2000,13.0,2.0,151.0,954.0,0
2025-06-02,AS,DEN,LAX,800,10.0,9.0,143.0,862.0,0
2025-06-14,AS,DEN,PHX,1100,3.0,-11.0,115.0,602.0,0
2025-08-17,UA,SFO,ORD,1400,32.0,30.0,276.0,1846.0,0
2025-11-04,AS,LAX,JFK,800,3.0,-4.0,349.0,2475.0,0
2025-11-27,UA,IAH,MIA,1500,30.0,22.0,158.0,964.0,0
2025-03-06,DL,JFK,ORD,1100,4.0,1.0,130.0,740.0,0
2025-01-25,F9,EWR,SFO,500,5.0,-0.0,363.0,2565.0,0
2025-11-01,UA,DEN,PHX,800,14.0,13.0,114.0,602.0,0
2025-10-13,DL,SEA,ANC,700,2.0,-12.0,219.0,1448.0,0
2025-04-12,AA,DEN,LAX,1800,29.0,43.0,143.0,862.0,0
2025-02-17,F9,LAX,LAS,1200,36.0,29.0,70.0,236.0,0
2025-02-15,F9,SFO,ORD,700,19.0,36.0,269.0,1846.0,0
2025-06-19,B6,JFK,ORD,1400,27.0,9.0,131.0,740.0,0
2025-04-14,UA,JFK,ORD,1100,9.0,-6.0,134.0,740.0,0
2025-03-01,AS,LAX,SFO,1100,3.0,-1.0,80.0,337.0,0
2025-10-24,B6,ORD,DFW,800,6.0,-0.0,136.0,802.0,0
2025-10-13,AA,LAX,SEA,1500,15.0,-2.0,158.0,954.0,0
2025-07-13,UA,DEN,LAX,1800,38.0,45.0,138.0,862.0,0
2025-01-14,F9,DEN,PHX,1200,10.0,6.0,108.0,602.0,0
2025-02-20,DL,EWR,SFO,700,13.0,6.0,371.0,2565.0,0
2025-09-13,F9,DEN,LAX,800,15.0,12.0,145.0,862.0,0
2025-05-17,WN,SFO,ORD,900,6.0,12.0,270.0,1846.0,0
2025-05-27,B6,IAH,MIA,1900,36.0,37.0,159.0,964.0,0
2025-10-25,AA,JFK,MIA,1500,24.0,23.0,175.0,1089.0,0
2025-04-07,AS,SFO,SEA,2000,15.0,23.0,121.0,679.0,0
2025-12-24,F9,EWR,SFO,900,14.0,16.0,365.0,2565.0,0
2025-12-17,WN,SFO,ORD,1900,24.0,5.0,272.0,1846.0,0
2025-08-06,UA,LAX,JFK,1700,29.0,36.0,350.0,2475.0,0
2025-04-17,DL,JFK,ORD,2000,24.0,24.0,126.0,740.0,0
2025-12-27,F9,SEA,ANC,800,20.0,20.0,223.0,1448.0,0
2025-03-19,F9,LAX,LAS,2000,29.0,27.0,61.0,236.0,0
2025-11-12,AS,JFK,ORD,1500,12.0,17.0,124.0,740.0,0
2025-06-07,DL,LAX,SEA,1600,10.0,-6.0,154.0,954.0,0
2025-11-10,F9,DEN,PHX,700,5.0,12.0,108.0,602.0,0
2025-04-21,WN,JFK,ORD,800,9.0,12.0,125.0,740.0,0
2025-09-19,UA,SFO,SEA,2200,25.0,26.0,123.0,679.0,0
2025-09-23,AA,LAX,ORD,1700,30.0,33.0,261.0,1744.0,0
2025-05-17,F9,ATL,MCO,1900,33.0,46.0,86.0,404.0,0
2025-01-12,B6,DEN,PHX,800,13.0,8.0,107.0,602.0,0
2025-04-19,AS,EWR,SFO,1200,11.0,21.0,366.0,2565.0,0
2025-09-10,B6,JFK,MIA,1300,24.0,18.0,177.0,1089.0,0
2025-10-16,B6,LAX,SEA,900,14.0,14.0,153.0,954.0,0
2025-06-04,AS,SEA,ANC,700,3.0,-3.0,217.0,1448.0,0
2025-11-22,AA,ATL,LGA,700,11.0,-3.0,133.0,762.0,0
2025-10-14,DL,DEN,PHX,900,0.0,-3.0,107.0,602.0,0
2025-02-07,DL,LAX,JFK,1100,11.0,10.0,351.0,2475.0,0
2025-05-02,UA,SFO,SEA,500,-3.0,-22.0,116.0,679.0,0
2025-07-11,B6,DEN,LAX,1200,18.0,1.0,144.0,862.0,0
2025-01-07,DL,SEA,ANC,1300,6.0,-6.0,216.0,1448.0,0
2025-04-11,DL,JFK,MIA,1200,6.0,16.0,170.0,1089.0,0
2025-10-06,F9,SEA,ANC,1400,16.0,14.0,220.0,1448.0,0
2025-11-08,AA,BOS,DCA,600,10.0,8.0,90.0,399.0,0
2025-02-18,DL,SFO,ORD,1900,50.0,47.0,272.0,1846.0,0
2025-08-06,F9,EWR,SFO,800,5.0,-12.0,361.0,2565.0,0
2025-06-24,F9,SFO,SEA,1100,23.0,26.0,121.0,679.0,0
2025-11-08,WN,LAX,ORD,1800,20.0,18.0,261.0,1744.0,0
2025-11-01,DL,DEN,PHX,1600,20.0,6.0,108.0,602.0,0
2025-12-14,AS,ATL,LGA,1600,14.0,14.0,140.0,762.0,0
2025-12-04,F9,LAX,SEA,1700,23.0,16.0,158.0,954.0,0
2025-09-27,F9,SEA,ANC,2100,23.0,23.0,222.0,1448.0,0
2025-03-31,AS,LAX,LAS,600,8.0,9.0,69.0,236.0,0
2025-04-02,F9,SEA,ANC,2200,31.0,36.0,218.0,1448.0,0
2025-11-02,B6,LAX,SFO,2000,34.0,31.0,75.0,337.0,0
2025-09-13,UA,SEA,ANC,700,-2.0,-13.0,213.0,1448.0,0
2025-10-11,AS,SEA,ANC,900,3.0,5.0,214.0,1448.0,0
2025-04-13,AS,SEA,ANC,1500,9.0,25.0,218.0,1448.0,0
2025-12-04,B6,ATL,LGA,1900,32.0,35.0,136.0,762.0,0
2025-03-04,WN,JFK,ORD,1300,13.0,14.0,129.0,740.0,0
2025-10-25,B6,DEN,PHX,1300,8.0,-16.0,108.0,602.0,0
2025-05-03,AS,LAX,ORD,700,5.0,-3.0,257.0,1744.0,0
2025-02-02,UA,SEA,ANC,1600,15.0,15.0,220.0,1448.0,0
2025-10-27,WN,ATL,MCO,1200,6.0,15.0,85.0,404.0,0
2025-12-11,F9,JFK,ORD,600,14.0,12.0,131.0,740.0,0
2025-12-21,B6,ORD,DFW,2000,43.0,48.0,131.0,802.0,0
2025-01-10,AS,ATL,MCO,800,4.0,-4.0,88.0,404.0,0
2025-06-15,AA,LAX,SFO,1300,20.0,7.0,77.0,337.0,0
2025-05-06,UA,LAX,SEA,1800,60.0,60.0,156.0,954.0,0
2025-05-03,UA,LAX,ORD,1600,29.0,13.0,256.0,1744.0,0
2025-05-23,AA,LAX,SEA,800,13.0,9.0,157.0,954.0,0
2025-01-07,F9,JFK,MIA,2200,45.0,34.0,171.0,1089.0,0
2025-06-27,WN,DEN,PHX,600,8.0,6.0,108.0,602.0,0
2025-01-28,AA,ATL,LGA,1800,29.0,17.0,128.0,762.0,0
2025-03-27,F9,JFK,ORD,1200,18.0,20.0,136.0,740.0,0
2025-09-20,AA,BOS,DCA,600,-3.0,-10.0,83.0,399.0,0
2025-02-15,B6,ATL,MCO,800,32.0,21.0,84.0,404.0,0
2025-09-04,AS,LAX,JFK,600,9.0,0.0,349.0,2475.0,0
2025-11-02,AA,DEN,LAX,800,-0.0,-14.0,142.0,862.0,0
2025-12-23,F9,ATL,MCO,1900,42.0,40.0,86.0,404.0,0
2025-08-23,AS,ATL,LGA,900,12.0,14.0,140.0,762.0,0
2025-11-18,F9,ATL,MCO,1500,20.0,16.0,88.0,404.0,0
2025-06-23,DL,ORD,DFW,800,2.0,4.0,133.0,802.0,0
2025-11-26,UA,LAX,JFK,800,4.0,-9.0,346.0,2475.0,0
2025-10-10,AA,ATL,MCO,1000,5.0,-10.0,84.0,404.0,0
2025-12-01,AS,SEA,ANC,2000,13.0,19.0,217.0,1448.0,0
2025-12-01,B6,SFO,SEA,800,10.0,-2.0,125.0,679.0,0
2025-09-09,DL,ATL,MCO,1500,28.0,11.0,90.0,404.0,1
